occurrence_ordinal	frame	after_source_ordinal	cpu	pc	opcode	start_master_cycle	refresh_delay_total_master_cycles	next_pc	delta_to_next_start	flow	branch_outcome	roles	source
# native_group_projection_sha256=c2924f951d875bf4085af0a85011a4b2949ca79dbef1b548ae14a22eaf4adba7
# native_instructions_sha256=6c519b99ae89803993233bd85f22c1b942021556ce2dbefab7c2eddb6e2a8751
# group_ordinal=1
# selection=lowest authenticated isolated 30-write S1 FM5 group with one FM5 B1 algorithm write, terminal key-on, and zero DMA stalls
0	1150	-1	2	0x72C26	0x7000	85370	882	0x72C28	28	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
1	1150	-1	2	0x72C28	0x101C	85398	882	0x72C2A	56	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
2	1150	-1	2	0x72C2A	0x1B40	85454	882	0x72C2E	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
3	1150	-1	2	0x72C2E	0x0815	85538	882	0x72C32	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
4	1150	-1	2	0x72C32	0x6600	85622	882	0x72C36	84	branch	not_taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
5	1150	-1	2	0x72C36	0x226E	85706	882	0x72C3A	112	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
6	1150	-1	2	0x72C3A	0x4A2E	85818	882	0x72C3E	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
7	1150	-1	2	0x72C3E	0x670E	85902	882	0x72C40	56	branch	not_taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
8	1150	-1	2	0x72C40	0x226D	85958	882	0x72C44	112	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
9	1150	-1	2	0x72C44	0x4A2E	86070	882	0x72C48	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
10	1150	-1	2	0x72C48	0x6B04	86154	882	0x72C4E	70	branch	taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
11	1150	-1	2	0x72C4E	0x5340	86224	882	0x72C50	42	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
12	1150	-1	2	0x72C50	0x6B0A	86266	896	0x72C5C	70	branch	taken	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
13	1150	-1	2	0x72C5C	0x1219	86336	896	0x72C5E	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
14	1150	-1	2	0x72C5E	0x1B41	86392	896	0x72C62	84	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
15	1150	-1	2	0x72C62	0x1801	86476	896	0x72C64	28	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
16	1150	-1	2	0x72C64	0x103C	86504	896	0x72C68	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
17	1150	-1	2	0x72C68	0x4EBA	86560	896	0x72722	126	call	target=0x72722	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
18	1150	-1	2	0x72722	0x082D	86686	896	0x72728	112	linear	n/a	ordinary	WriteFMIorII@s1.sounddriver.asm:1712-1717
19	1150	-1	2	0x72728	0x6630	86798	896	0x7275A	70	branch	taken	control_flow	WriteFMIorII@s1.sounddriver.asm:1712-1717
20	1150	-1	2	0x7275A	0x142D	86868	896	0x7275E	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
21	1150	-1	2	0x7275E	0x0882	86952	896	0x72762	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
22	1150	-1	2	0x72762	0xD002	87036	896	0x72764	28	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
23	1150	-1	2	0x72764	0x1439	87064	896	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
24	1150	-1	2	0x7276A	0x0802	87183	896	0x7276E	84	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
25	1150	-1	2	0x7276E	0x66F4	87267	910	0x72770	56	branch	not_taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
26	1150	-1	2	0x72770	0x13C0	87323	910	0x72776	119	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
27	1150	-1	2	0x72776	0x4E71	87442	910	0x72778	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
28	1150	-1	2	0x72778	0x4E71	87470	910	0x7277A	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
29	1150	-1	2	0x7277A	0x4E71	87498	910	0x7277C	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
30	1150	-1	2	0x7277C	0x1439	87526	910	0x72782	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
31	1150	-1	2	0x72782	0x0802	87645	910	0x72786	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
32	1150	-1	2	0x72786	0x66F4	87715	910	0x72788	56	branch	not_taken	control_flow,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
33	1150	-1	2	0x72788	0x13C1	87771	910	0x7278E	119	linear	n/a	ordinary,ym_write	WriteFMII@s1.sounddriver.asm:1752-1769
34	1150	0	2	0x7278E	0x4E75	87890	910	0x72C6C	112	return	target=0x72C6C	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
35	1150	0	2	0x72C6C	0x45FA	88002	910	0x72C70	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
36	1150	0	2	0x72C70	0x7613	88058	910	0x72C72	28	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
37	1150	0	2	0x72C72	0x101A	88086	910	0x72C74	70	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
38	1150	0	2	0x72C74	0x1219	88156	924	0x72C76	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
39	1150	0	2	0x72C76	0x4EBA	88212	924	0x72722	126	call	target=0x72722	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
40	1150	0	2	0x72722	0x082D	88338	924	0x72728	112	linear	n/a	ordinary	WriteFMIorII@s1.sounddriver.asm:1712-1717
41	1150	0	2	0x72728	0x6630	88450	924	0x7275A	70	branch	taken	control_flow	WriteFMIorII@s1.sounddriver.asm:1712-1717
42	1150	0	2	0x7275A	0x142D	88520	924	0x7275E	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
43	1150	0	2	0x7275E	0x0882	88604	924	0x72762	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
44	1150	0	2	0x72762	0xD002	88688	924	0x72764	28	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
45	1150	0	2	0x72764	0x1439	88716	924	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
46	1150	0	2	0x7276A	0x0802	88835	924	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
47	1150	0	2	0x7276E	0x66F4	88905	924	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
