occurrence_ordinal	frame	after_source_ordinal	cpu	pc	opcode	start_master_cycle	refresh_delay_total_master_cycles	next_pc	delta_to_next_start	flow	branch_outcome	roles	source
0	978	-1	2	0x72C26	0x7000	157184	1694	0x72C28	28	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
1	978	-1	2	0x72C28	0x101C	157212	1694	0x72C2A	56	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
2	978	-1	2	0x72C2A	0x1B40	157268	1694	0x72C2E	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
3	978	-1	2	0x72C2E	0x0815	157352	1694	0x72C32	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
4	978	-1	2	0x72C32	0x6600	157436	1694	0x72C36	84	branch	not_taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
5	978	-1	2	0x72C36	0x226E	157520	1694	0x72C3A	112	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
6	978	-1	2	0x72C3A	0x4A2E	157632	1694	0x72C3E	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
7	978	-1	2	0x72C3E	0x670E	157716	1694	0x72C40	56	branch	not_taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
8	978	-1	2	0x72C40	0x226D	157772	1694	0x72C44	112	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
9	978	-1	2	0x72C44	0x4A2E	157884	1694	0x72C48	84	linear	n/a	ordinary	cfSetVoice@s1.sounddriver.asm:2312-2326
10	978	-1	2	0x72C48	0x6B04	157968	1694	0x72C4E	70	branch	taken	control_flow	cfSetVoice@s1.sounddriver.asm:2312-2326
11	978	-1	2	0x72C4E	0x5340	158038	1694	0x72C50	42	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
12	978	-1	2	0x72C50	0x6B0A	158080	1708	0x72C5C	70	branch	taken	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
13	978	-1	2	0x72C5C	0x1219	158150	1708	0x72C5E	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
14	978	-1	2	0x72C5E	0x1B41	158206	1708	0x72C62	84	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
15	978	-1	2	0x72C62	0x1801	158290	1708	0x72C64	28	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
16	978	-1	2	0x72C64	0x103C	158318	1708	0x72C68	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
17	978	-1	2	0x72C68	0x4EBA	158374	1708	0x72722	126	call	target=0x72722	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
18	978	-1	2	0x72722	0x082D	158500	1708	0x72728	112	linear	n/a	ordinary	WriteFMIorII@s1.sounddriver.asm:1712-1717
19	978	-1	2	0x72728	0x6630	158612	1708	0x7275A	70	branch	taken	control_flow	WriteFMIorII@s1.sounddriver.asm:1712-1717
20	978	-1	2	0x7275A	0x142D	158682	1708	0x7275E	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
21	978	-1	2	0x7275E	0x0882	158766	1708	0x72762	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
22	978	-1	2	0x72762	0xD002	158850	1708	0x72764	28	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
23	978	-1	2	0x72764	0x1439	158878	1708	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
24	978	-1	2	0x7276A	0x0802	158997	1708	0x7276E	84	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
25	978	-1	2	0x7276E	0x66F4	159081	1722	0x72770	56	branch	not_taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
26	978	-1	2	0x72770	0x13C0	159137	1722	0x72776	119	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
27	978	-1	2	0x72776	0x4E71	159256	1722	0x72778	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
28	978	-1	2	0x72778	0x4E71	159284	1722	0x7277A	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
29	978	-1	2	0x7277A	0x4E71	159312	1722	0x7277C	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
30	978	-1	2	0x7277C	0x1439	159340	1722	0x72782	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
31	978	-1	2	0x72782	0x0802	159459	1722	0x72786	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
32	978	-1	2	0x72786	0x66F4	159529	1722	0x72788	56	branch	not_taken	control_flow,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
33	978	-1	2	0x72788	0x13C1	159585	1722	0x7278E	119	linear	n/a	ordinary,ym_write	WriteFMII@s1.sounddriver.asm:1752-1769
34	978	0	2	0x7278E	0x4E75	159704	1722	0x72C6C	112	return	target=0x72C6C	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
35	978	0	2	0x72C6C	0x45FA	159816	1722	0x72C70	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
36	978	0	2	0x72C70	0x7613	159872	1722	0x72C72	28	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
37	978	0	2	0x72C72	0x101A	159900	1722	0x72C74	70	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
38	978	0	2	0x72C74	0x1219	159970	1736	0x72C76	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
39	978	0	2	0x72C76	0x4EBA	160026	1736	0x72722	126	call	target=0x72722	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
40	978	0	2	0x72722	0x082D	160152	1736	0x72728	112	linear	n/a	ordinary	WriteFMIorII@s1.sounddriver.asm:1712-1717
41	978	0	2	0x72728	0x6630	160264	1736	0x7275A	70	branch	taken	control_flow	WriteFMIorII@s1.sounddriver.asm:1712-1717
42	978	0	2	0x7275A	0x142D	160334	1736	0x7275E	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
43	978	0	2	0x7275E	0x0882	160418	1736	0x72762	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
44	978	0	2	0x72762	0xD002	160502	1736	0x72764	28	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
45	978	0	2	0x72764	0x1439	160530	1736	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
46	978	0	2	0x7276A	0x0802	160649	1736	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
47	978	0	2	0x7276E	0x66F4	160719	1736	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
48	978	0	2	0x72764	0x1439	160789	1736	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
49	978	0	2	0x7276A	0x0802	160908	1736	0x7276E	84	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
50	978	0	2	0x7276E	0x66F4	160992	1750	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
51	978	0	2	0x72764	0x1439	161062	1750	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
52	978	0	2	0x7276A	0x0802	161181	1750	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
