game	start_pc	end_pc	label	source	line_start	line_end
s1	0x71CCA	0x71CEA	FMUpdateTrack	s1.sounddriver.asm	348	362
s1	0x71CEC	0x71D20	FMDoNext	s1.sounddriver.asm	365	393
s1	0x71D22	0x71D3E	FMSetFreq	s1.sounddriver.asm	396	407
s1	0x71D40	0x71D56	SetDuration	s1.sounddriver.asm	410	426
s1	0x71D60	0x71D9C	FinishTrackUpdate	s1.sounddriver.asm	435	456
s1	0x71E18	0x71E22	FMPrepareNote	s1.sounddriver.asm	523	529
s1	0x71E24	0x71E48	FMUpdateFreq	s1.sounddriver.asm	529	545
s1	0x726E2	0x726FC	FMNoteOn	s1.sounddriver.asm	1667	1680
s1	0x726FE	0x72714	FMNoteOff	s1.sounddriver.asm	1683	1698
s1	0x72716	0x72720	WriteFMIorIIMain	s1.sounddriver.asm	1701	1709
s1	0x72722	0x72728	WriteFMIorII	s1.sounddriver.asm	1712	1717
s1	0x7272E	0x72758	WriteFMI	s1.sounddriver.asm	1725	1742
s1	0x7275A	0x72762	WriteFMIIPart	s1.sounddriver.asm	1745	1750
s1	0x72764	0x7278E	WriteFMII	s1.sounddriver.asm	1752	1769
s1	0x72A5A	0x72A60	CoordFlag	s1.sounddriver.asm	2066	2071
s1	0x72A64	0x72A64	coordflagLookup	s1.sounddriver.asm	2074	2076
s1	0x72ACC	0x72AE6	cfPanningAMSFMS	s1.sounddriver.asm	2128	2138
s1	0x72C26	0x72C48	cfSetVoice	s1.sounddriver.asm	2312	2326
s1	0x72C4E	0x72CAA	SetVoice	s1.sounddriver.asm	2328	2375
s2	0x8	0xE	zFMBusyWait	s2.sounddriver.asm	330	337
s2	0x10	0x17	zWriteFMIorII	s2.sounddriver.asm	342	347
s2	0x18	0x27	zWriteFMI	s2.sounddriver.asm	351	368
s2	0x28	0x35	zWriteFMII	s2.sounddriver.asm	372	389
s2	0x243	0x255	zFMUpdateTrack	s2.sounddriver.asm	820	835
s2	0x258	0x282	zFMDoNext	s2.sounddriver.asm	841	870
s2	0x285	0x29C	zFMSetFreq	s2.sounddriver.asm	872	914
s2	0x2A9	0x2B9	zSetDuration	s2.sounddriver.asm	928	942
s2	0x2BA	0x2E2	zFinishTrackUpdate	s2.sounddriver.asm	946	962
s2	0x3E5	0x3F4	zFMPrepareNote	s2.sounddriver.asm	1078	1086
s2	0x3F5	0x413	zFMUpdateFreq	s2.sounddriver.asm	1088	1117
s2	0xC46	0xC55	zFMNoteOn	s2.sounddriver.asm	2796	2807
s2	0xC56	0xC62	zFMNoteOff	s2.sounddriver.asm	2813	2828
s2	0xC63	0xC88	zBankSwitchToMusic	s2.sounddriver.asm	2833	2848
s2	0xC89	0xC91	zCoordFlag	s2.sounddriver.asm	2852	2865
s2	0xC92	0xC94	coordflagLookup	s2.sounddriver.asm	2867	2873
s2	0xCFC	0xD19	cfPanningAMSFMS	s2.sounddriver.asm	3004	3045
s2	0xE06	0xE11	cfSetVoice	s2.sounddriver.asm	3271	3282
s2	0xE12	0xE20	cfSetVoiceCont	s2.sounddriver.asm	3284	3295
s2	0xE24	0xE64	zSetVoice	s2.sounddriver.asm	3304	3396
s2	0xE65	0xE71	zSetVoice.a_backup	s2.sounddriver.asm	3385	3396
s2	0xE72	0xE89	zSetFMTLs	s2.sounddriver.asm	3398	3432
