occurrence_ordinal	frame	after_source_ordinal	cpu	pc	opcode	start_master_cycle	next_pc	delta_to_next_start	flow	branch_outcome	roles	source
0	872	-1	1	0xE06	0x4F	159705	0xE07	60	linear	n/a	ordinary	cfSetVoice@s2.sounddriver.asm:3271-3282
1	872	-1	1	0xE07	0xDD	159765	0xE0B	300	linear	n/a	ordinary	cfSetVoice@s2.sounddriver.asm:3271-3282
2	872	-1	1	0xE0B	0xC0	160065	0xE0C	75	return	not_taken	control_flow	cfSetVoice@s2.sounddriver.asm:3271-3282
3	872	-1	1	0xE0C	0xE5	160140	0xE0D	165	linear	n/a	ordinary	cfSetVoice@s2.sounddriver.asm:3271-3282
4	872	-1	1	0xE0D	0xCD	160305	0xE12	255	call	target=0xE12	control_flow	cfSetVoice@s2.sounddriver.asm:3271-3282
5	872	-1	1	0xE12	0x3A	160560	0xE15	195	linear	n/a	ordinary	cfSetVoiceCont@s2.sounddriver.asm:3284-3295
6	872	-1	1	0xE15	0xB7	160755	0xE16	60	linear	n/a	ordinary	cfSetVoiceCont@s2.sounddriver.asm:3284-3295
7	872	-1	1	0xE16	0x79	160815	0xE17	60	linear	n/a	ordinary	cfSetVoiceCont@s2.sounddriver.asm:3284-3295
8	872	-1	1	0xE17	0x28	160875	0xE19	105	branch	not_taken	control_flow	cfSetVoiceCont@s2.sounddriver.asm:3284-3295
9	872	-1	1	0xE19	0xDD	160980	0xE1C	285	linear	n/a	ordinary	cfSetVoiceCont@s2.sounddriver.asm:3284-3295
10	872	-1	1	0xE1C	0xDD	161265	0xE1F	285	linear	n/a	ordinary	cfSetVoiceCont@s2.sounddriver.asm:3284-3295
11	872	-1	1	0xE1F	0x18	161550	0xE24	180	branch	target=0xE24	control_flow	cfSetVoiceCont@s2.sounddriver.asm:3284-3295
12	872	-1	1	0xE24	0xE5	161730	0xE25	165	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
13	872	-1	1	0xE25	0x4F	161895	0xE26	60	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
14	872	-1	1	0xE26	0x06	161955	0xE28	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
15	872	-1	1	0xE28	0x87	162060	0xE29	60	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
16	872	-1	1	0xE29	0x6F	162120	0xE2A	60	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
17	872	-1	1	0xE2A	0x60	162180	0xE2B	60	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
18	872	-1	1	0xE2B	0x29	162240	0xE2C	165	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
19	872	-1	1	0xE2C	0x29	162405	0xE2D	165	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
20	872	-1	1	0xE2D	0x5D	162570	0xE2E	60	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
21	872	-1	1	0xE2E	0x54	162630	0xE2F	60	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
22	872	-1	1	0xE2F	0x29	162690	0xE30	165	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
23	872	-1	1	0xE30	0x19	162855	0xE31	165	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
24	872	-1	1	0xE31	0x09	163020	0xE32	165	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
25	872	-1	1	0xE32	0xD1	163185	0xE33	150	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
26	872	-1	1	0xE33	0x19	163335	0xE34	165	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
27	872	-1	1	0xE34	0x7E	163500	0xE35	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
28	872	-1	1	0xE35	0x23	163650	0xE36	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
29	872	-1	1	0xE36	0x32	163740	0xE39	195	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
30	872	-1	1	0xE39	0x4F	163935	0xE3A	60	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
31	872	-1	1	0xE3A	0xDD	163995	0xE3D	285	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
32	872	-1	1	0xE3D	0xE6	164280	0xE3F	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
33	872	-1	1	0xE3F	0xC6	164385	0xE41	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
34	872	-1	1	0xE41	0xD7	164490	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
35	872	-1	1	0x10	0xDD	164655	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
36	872	-1	1	0x14	0x28	164955	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
37	872	-1	1	0x16	0x18	165060	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
38	872	-1	1	0x28	0xF5	165240	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
39	872	-1	1	0x29	0xCF	165405	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
40	872	-1	1	0x8	0x3A	165570	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
41	872	-1	1	0xB	0x87	165765	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
42	872	-1	1	0xC	0x38	165825	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
43	872	-1	1	0xE	0xC9	165930	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
44	872	-1	1	0x2A	0xF1	166080	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
45	872	-1	1	0x2B	0x32	166230	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
46	872	-1	1	0x2E	0xF5	166425	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
47	872	-1	1	0x2F	0xCF	166590	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
48	872	-1	1	0x8	0x3A	166755	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
49	872	-1	1	0xB	0x87	166950	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
50	872	-1	1	0xC	0x38	167010	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
51	872	-1	1	0xE	0xC9	167115	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
52	872	-1	1	0x30	0x79	167265	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
53	872	-1	1	0x31	0x32	167325	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
54	872	0	1	0x34	0xF1	167520	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
55	872	0	1	0x35	0xC9	167670	0xE42	150	return	target=0xE42	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
56	872	0	1	0xE42	0xD6	167820	0xE44	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
57	872	0	1	0xE44	0x06	167925	0xE46	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
58	872	0	1	0xE46	0x4E	168030	0xE47	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
59	872	0	1	0xE47	0x23	168180	0xE48	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
60	872	0	1	0xE48	0xD7	168270	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
61	872	0	1	0x10	0xDD	168435	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
62	872	0	1	0x14	0x28	168735	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
63	872	0	1	0x16	0x18	168840	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
64	872	0	1	0x28	0xF5	169020	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
65	872	0	1	0x29	0xCF	169185	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
66	872	0	1	0x8	0x3A	169350	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
67	872	0	1	0xB	0x87	169545	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
68	872	0	1	0xC	0x38	169605	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
69	872	0	1	0xE	0xC9	169710	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
70	872	0	1	0x2A	0xF1	169860	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
71	872	0	1	0x2B	0x32	170010	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
72	872	0	1	0x2E	0xF5	170205	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
73	872	0	1	0x2F	0xCF	170370	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
74	872	0	1	0x8	0x3A	170535	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
75	872	0	1	0xB	0x87	170730	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
